"CountryCode","SeriesCode","Year","DESCRIPTION",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2000","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2001","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2002","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2003","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2004","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2005","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2006","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2007","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2008","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2009","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2010","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2011","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2012","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2013","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2014","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2015","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL","YR2016","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL.ZS","YR2000","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
"BDI_Bubanza_BI.BB_40542_BDI001","SP.POP.TOTL.ZS","YR2001","The reference dates of the year are not specified in the original data source for 2009-2012. It is assumed they are the same as the 2008 census which is August 16-31 for estimation purpose.",
